"variable","comparison","treatment","n.trt","inoc","emmean","SE","df","lower.CL","upper.CL",".group","compact"
"a400","n.trt",NA,"hn",NA,9.7888352715,0.457569916684488,11.3999999999999,8.7860252737607,10.7916452692393,"a","b"
"a400","n.trt",NA,"ln",NA,12.3628694720625,0.457569916684488,11.4,11.3600594743232,13.3656794698018,"b","a"
"a400","inoc",NA,NA,"ni",10.8565511704375,0.457569916684488,11.3999999999999,9.8537411726982,11.8593611681768,"a","a"
"a400","inoc",NA,NA,"yi",11.295153573125,0.457569916684488,11.4,10.2923435753857,12.2979635708643,"a","a"
"vcmax25","full","hn_ni","hn","ni",51.9891394058393,3.50437253761098,26.4879166444747,44.7922508903514,59.1860279213271,"a","a"
"vcmax25","full","hn_yi","hn","yi",57.6062127410215,3.50437253761099,26.4879166444749,50.4093242255337,64.8031012565094,"a","a"
"vcmax25","full","ln_ni","ln","ni",59.1998128022417,3.50437253761099,26.4879166444749,52.0029242867539,66.3967013177296,"a","a"
"vcmax25","full","ln_yi","ln","yi",61.9008189371517,3.50437253761099,26.4879166444749,54.7039304216639,69.0977074526396,"a","a"
"vcmax25","n.trt",NA,"hn",NA,54.7976760734304,2.55145488839585,9.36507695409504,49.0600008297057,60.535351317155,"a","b"
"vcmax25","n.trt",NA,"ln",NA,60.5503158696967,2.55145488839585,9.36507695409506,54.8126406259721,66.2879911134214,"a","a"
"vcmax25","inoc",NA,NA,"ni",55.5944761040405,2.55145488839585,9.36507695409504,49.8568008603158,61.3321513477651,"a","a"
"vcmax25","inoc",NA,NA,"yi",59.7535158390866,2.55145488839585,9.36507695409504,54.015840595362,65.4911910828113,"a","a"
"jmax25","full","hn_ni","hn","ni",56.7626664058831,3.99040936460926,22.0604124639681,48.4883776675698,65.0369551441964,"a","b"
"jmax25","full","ln_ni","ln","ni",65.0825046623219,3.99040936460926,22.0604124639682,56.8082159240086,73.3567934006352,"a","ab"
"jmax25","full","hn_yi","hn","yi",65.6421263709239,3.99040936460926,22.0604124639682,57.3678376326107,73.9164151092372,"a","ab"
"jmax25","full","ln_yi","ln","yi",68.9149481062202,3.99040936460926,22.0604124639681,60.6406593679069,77.1892368445335,"a","a"
"jmax25","n.trt",NA,"hn",NA,61.2023963884035,2.97870243256407,8.07485295731822,54.3445637928173,68.0602289839897,"a","b"
"jmax25","n.trt",NA,"ln",NA,66.998726384271,2.97870243256407,8.07485295731822,60.1408937886849,73.8565589798572,"a","a"
"jmax25","inoc",NA,NA,"ni",60.9225855341025,2.97870243256407,8.07485295731821,54.0647529385163,67.7804181296887,"a","a"
"jmax25","inoc",NA,NA,"yi",67.2785372385721,2.97870243256407,8.07485295731822,60.4207046429859,74.1363698341582,"a","a"
"jmax25.vcmax25","full","hn_ni","hn","ni",1.0584366957487,0.0272846012289688,26.9874989048088,1.00245210488461,1.11442128661279,"a","b"
"jmax25.vcmax25","full","ln_ni","ln","ni",1.10682040631254,0.0264170706302099,25.1535705222971,1.05243026893281,1.16121054369226,"a","ab"
"jmax25.vcmax25","full","ln_yi","ln","yi",1.12062430360694,0.0264170706302099,25.1535705222971,1.06623416622722,1.17501444098667,"a","a"
"jmax25.vcmax25","full","hn_yi","hn","yi",1.12339957966533,0.0272846012289689,26.9874989048091,1.06741498880124,1.17938417052942,"a","a"
"jmax25.vcmax25","n.trt",NA,"hn",NA,1.09091813770702,0.0198365114458806,9.78790136415738,1.04658946856614,1.13524680684789,"a","b"
"jmax25.vcmax25","n.trt",NA,"ln",NA,1.11372235495974,0.0192530573016666,8.84471502596621,1.07005207306068,1.1573926368588,"a","a"
"jmax25.vcmax25","inoc",NA,NA,"ni",1.08262855103062,0.0195531883933757,9.30243230164026,1.0386144073358,1.12664269472544,"a","a"
"jmax25.vcmax25","inoc",NA,NA,"yi",1.12201194163614,0.0195531883933758,9.30243230164028,1.07799779794132,1.16602608533096,"a","a"
"rd25","full","ln_yi","ln","yi",0.551171833955865,0.0448925718489596,21.8962940435023,0.465487232107174,0.652628836178963,"a","a"
"rd25","full","ln_ni","ln","ni",0.591546744943307,0.0513317743102695,25.620754879385,0.49484396448213,0.707147255638919,"a","a"
"rd25","full","hn_ni","hn","ni",0.627505573427159,0.0527247958052478,23.608740982019,0.52751945022557,0.746443082835662,"ab","ab"
"rd25","full","hn_yi","hn","yi",0.813747317630575,0.0662791668098083,21.8962940435024,0.687243003329566,0.963537924348146,"b","b"
"rd25","n.trt",NA,"ln",NA,0.571002543147598,0.035506613891958,8.72067656207156,0.495732405384847,0.657701414592638,"a","a"
"rd25","n.trt",NA,"hn",NA,0.714584478682952,0.0437543928390116,8.25543549204303,0.620955988387577,0.822330385283071,"b","b"
"rd25","inoc",NA,NA,"ni",0.609260928826574,0.038357021332024,9.15385073899546,0.528579308825072,0.702257680535625,"a","a"
"rd25","inoc",NA,NA,"yi",0.669712327372813,0.0404204418875188,7.86520242998738,0.582455766347866,0.770040623423477,"a","a"
"rd.vcmax","full","ln_yi","ln","yi",0.00978632384759775,0.00146943112150324,14.8986335463211,0.00665244854061762,0.0129201991545779,"a","a"
"rd.vcmax","full","ln_ni","ln","ni",0.0110866713841169,0.00155222624348059,17.630126573042,0.00782065405509161,0.0143526887131421,"a","a"
"rd.vcmax","full","hn_ni","hn","ni",0.0129516234191092,0.00150931288017607,16.1582374546033,0.00975456772879518,0.0161486791094233,"ab","ab"
"rd.vcmax","full","hn_yi","hn","yi",0.0163016599515817,0.00146943112150324,14.898633546321,0.0131677846446016,0.0194355352585619,"b","b"
"rd25.vcmax25","n.trt",NA,"ln",NA,0.0104364976158573,0.00117635843177431,6.60675376766797,0.00762093360324386,0.0132520616284708,"a","a"
"rd25.vcmax25","n.trt",NA,"hn",NA,0.0146266416853455,0.00116231403881886,6.31769476660287,0.0118168727178296,0.0174364106528614,"b","b"
"rd25.vcmax25","inoc",NA,NA,"ni",0.0120191474016131,0.00118783797849124,6.86635459693053,0.0091992362750489,0.0148390585281772,"a","a"
"rd25.vcmax25","inoc",NA,NA,"yi",0.0130439918995897,0.0011494670667225,6.07006461334924,0.0102391982872973,0.0158487855118821,"a","a"
"gs","full","hn_ni","hn","ni",0.1276675329375,0.0124009995471582,31.778103616813,0.102400604117024,0.152934461757976,"a","b"
"gs","full","hn_yi","hn","yi",0.1360253718125,0.0124009995471583,31.7781036168133,0.110758442992024,0.161292300632976,"a","b"
"gs","full","ln_ni","ln","ni",0.1682310973125,0.0124009995471583,31.7781036168133,0.142964168492024,0.193498026132976,"a","a"
"gs","full","ln_yi","ln","yi",0.174359936333333,0.0128352703746829,33.6586533794933,0.148265781272387,0.200454091394279,"a","a"
"gs","n.trt",NA,"hn",NA,0.131846452375,0.00876883087328694,11.0556027886414,0.112558221956718,0.151134682793282,"a","b"
"gs","n.trt",NA,"ln",NA,0.171295516822917,0.008923689754802,11.6568798247503,0.151788802991493,0.19080223065434,"b","a"
"gs","inoc",NA,NA,"ni",0.147949315125,0.00876883087328694,11.0556027886414,0.128661084706718,0.167237545543282,"a","a"
"gs","inoc",NA,NA,"yi",0.155192654072917,0.00892368975480201,11.6568798247503,0.135685940241493,0.17469936790434,"a","a"
"ci.ca","full","ln_ni","ln","ni",0.636515493021326,0.0219992062736784,17.5563320020611,0.59021301197141,0.682817974071243,"a","a"
"ci.ca","full","hn_yi","hn","yi",0.649194408122847,0.0219992062736784,17.5563320020611,0.60289192707293,0.695496889172764,"a","a"
"ci.ca","full","hn_ni","hn","ni",0.662191771659743,0.0219992062736783,17.5563320020607,0.615889290609826,0.708494252709659,"a","a"
"ci.ca","full","ln_yi","ln","yi",0.670528856794122,0.0219992062736784,17.5563320020611,0.624226375744205,0.716831337844039,"a","a"
"ci.ca","n.trt",NA,"ln",NA,0.653522174907724,0.0169348410627102,6.86713502952675,0.613320040648232,0.693724309167216,"a","b"
"ci.ca","n.trt",NA,"hn",NA,0.655693089891295,0.0169348410627102,6.8671350295267,0.615490955631803,0.695895224150787,"a","a"
"ci.ca","inoc",NA,NA,"ni",0.649353632340534,0.0169348410627102,6.86713502952669,0.609151498081043,0.689555766600026,"a","a"
"ci.ca","inoc",NA,NA,"yi",0.659861632458485,0.0169348410627102,6.86713502952675,0.619659498198993,0.700063766717976,"a","a"
"pnue","full","hn_ni","hn","ni",7.93736722149574,0.621843589023446,30.9829336307875,6.66908054476684,9.20565389822465,"a","b"
"pnue","full","hn_yi","hn","yi",8.75286573813826,0.643660604360471,32.8350560403106,7.443078440916,10.0626530353605,"a","b"
"pnue","full","ln_yi","ln","yi",12.6041408258351,0.621843589023445,30.9829336307864,11.3358541491062,13.872427502564,"b","a"
"pnue","full","ln_ni","ln","ni",15.2319139253481,0.643660604360471,32.8350560403106,13.9221266281258,16.5417012225703,"c","a"
"pnue","n.trt",NA,"hn",NA,8.345116479817,0.447489782792649,11.2966196087889,7.36334418463235,9.32688877500165,"a","b"
"pnue","n.trt",NA,"ln",NA,13.9180273755916,0.447489782792648,11.2966196087888,12.9362550804069,14.8997996707762,"b","a"
"pnue","inoc",NA,NA,"yi",10.6785032819867,0.447489782792648,11.2966196087888,9.69673098680203,11.6602755771713,"a","a"
"pnue","inoc",NA,NA,"ni",11.5846405734219,0.447489782792649,11.2966196087889,10.6028682782373,12.5664128686066,"a","a"
