"id","rep","n.trt","inoc","block","machine","anet","vcmax","vcmax25","jmax","jmax25","rd","rd25","tpu","rd25.vcmax25","jmax25.vcmax25","gsw","ci.ca","pnue","iwue","vcmax.gs","narea.gs","sla","focal.area","focal.biomass","leaf.n","leaf.cn","narea","tgrow","ci","ca","total.leaf.area","leaf.c","ecst.mau","gh.","leaf.angle","leaf.temp.differential","lef","par","npq.t","phi.2","phi.no","phi.npq","ps1.active.centers","ps1.open.centers","ps1.overreduced.centers","ps1.oxidized.centers","relative.chlorophyll","leaf.thickness","vh.plus"
"r4_hn_ni","04","HN","NI",1,"ozz",6.570301894,55.9283306959735,45.1869732424306,46.7078087594269,40.4970726131605,NA,NA,3.46592285145661,NA,0.896211224325459,0.110455661,0.724237210807476,4.60705414564734,59.4836139181676,506.341913032176,12.9114206253397,511.240310077519,39.57,0.0774,7.291,6.14675627485942,1.42613949962093,27.5325199764982,286.4655106,395.541,1043.37,44.816,0.00012,289.132,41.944,-3.19,5.2794567,21.686,3.103,0.541,0.112,0.347,0.819,0.75,-0.168,0.418,35.82,6.09,0.035
"r4_hn_yi","04","HN","YI",1,"gib",7.659397731,53.9388113037292,43.5614727334552,52.1363192865232,45.1914153867902,0.556290214833333,0.552903031629318,3.53253108886111,0.0126924779383019,1.03741706951251,0.126611196,0.722550309777832,6.74725509982931,60.4954219925385,426.019285875233,8.96593075220601,638.661174047374,62.014,0.0971,7.25,6.2248275862069,1.13518721578998,27.5325199764982,285.2953702,394.8449905,1168.184,45.13,7e-05,208.848,39.882,-2.41,6.81768945,21.989,1.066,0.689,0.151,0.161,0.287,0.828,-1.317,1.489,34.05,3.14,0.015
"r4_ln_ni","04","LN","NI",1,"gib",9.095140355,63.5091419222493,50.7799313014481,63.2890105842064,54.4989568527751,0.912843114,0.897503467221722,4.029234936,0.0176743734034183,1.07323809733514,0.125496711,0.674043226499089,11.1015790303063,72.4731372043686,506.062202078342,6.52818279332371,555.619658119658,26.003,0.0468,4.552,9.68892794376099,0.819265469368919,27.5325199764982,265.5770755,394.006,501.493,44.104,0.00011,87.915,31.408,-3.49,5.3009271,22.741,0.356,0.518,0.356,0.127,-0.995,0.049,1.088,-0.137,31.21,3.66,0.01
"r4_ln_yi","04","LN","YI",1,"nvg",17.88369403,105.32478205955,90.5024363487016,116.88618686929,105.559683757974,0.462194045666667,0.453502726529161,7.25328360855555,0.00501094495160148,1.16637394546217,0.225971947,0.634710054530515,16.8821749091567,79.1412131789969,466.096714472041,4.68785648797369,515.706214689266,45.64,0.0885,5.463,8.20464946000366,1.059324057844,27.5325199764982,246.4090415,388.223,745.34,44.822,6e-05,1152.596,39.264,-2.84,6.65554815,23.971,1.581,0.617,0.148,0.234,0.893,0.192,0.454,0.354,34.68,3.42,0.069
"r5_hn_ni","05","HN","NI",2,"alb",14.71278268,94.3219355092378,82.0164652335717,100.733017637793,91.6838430825573,0.598884617333333,0.591316267962537,NA,0.00720972631871599,1.11787118380991,0.183769712,0.636463160483454,11.8950252510372,80.0609769688272,513.261595083948,6.73062690319605,528.585766423358,57.933,0.1096,6.538,6.95013765677577,1.23688536757979,28.9775095475911,248.4484864,390.358,1193.013,45.44,4e-05,123.7,36.58,-2.22,6.436836,22.96,1.848,0.623,0.132,0.245,1.064,0.936,-0.445,0.508,42.12,4.83,0.005
"r5_hn_yi","05","HN","YI",2,"ozz",12.82608605,92.4944394058575,76.5809834555937,93.2897512699861,82.185812775421,1.37133758283333,1.3375923562316,NA,0.0174663773677863,1.07318826511385,0.21816675,0.722448608513465,10.3044707538798,58.7902879334271,423.962127161254,5.7053185299489,533.457249070632,71.75,0.1345,6.64,6.85843373493976,1.24471080139373,28.9775095475911,282.7519364,391.38,1512.99,45.54,7e-05,75.83,46.404,-1.98,6.4642158,21.156,1.246,0.679,0.143,0.178,1.372,0.716,0.077,0.207,43.1,3.85,0.005
"r5_ln_ni","05","LN","NI",2,"nvg",12.58973498,79.9925018907952,66.819691734537,90.9604829206497,80.6062278965915,0.381649151307692,0.375004954161497,5.4417283584359,0.00561219222098968,1.20632445023581,0.137928709,0.591289728445228,14.8882267964068,91.277117514382,579.9554166116,6.13082529992163,494.313725490196,37.815,0.0765,4.18,10.561961722488,0.845616818722729,28.9775095475911,231.6560811,391.781,358.755,44.149,8e-05,103.422,32.975,-2.03,6.517665,21.175,0.229,0.684,0.257,0.059,0.431,0.012,0.686,0.301,28.29,4.84,0.008
"r5_ln_yi","05","LN","YI",2,"nvg",13.48645898,93.2815820350888,79.4878545718701,90.649465200046,81.4010945265909,0.889546277666667,0.866811964903698,NA,0.010904961136169,1.02406958855571,0.301199757,0.778449961351421,14.2626353562002,44.7757963496631,309.700057411032,3.13937748749906,529.516423357664,58.035,0.1096,5.007,8.79868184541642,0.945579736365986,28.9775095475911,304.1403999,390.7,860.455,44.055,0.00042,4.756,35.119,-2.95,5.64503355,22.441,0.389,0.559,0.317,0.123,0.603,0.195,0.318,0.488,37.8,4.09,0.002
"r6_hn_ni","06","HN","NI",2,"alb",7.68078236,49.779694361259,41.3900291068439,52.2883014006019,46.1940372067236,0.790588539333333,0.769852743170941,NA,0.0185999565543588,1.11606679684807,0.141890022,0.748243451584793,6.36469765831528,54.1319414271428,350.832945541858,8.50502951329056,595.055187637969,53.912,0.0906,7.181,6.26152346469851,1.20677882475145,28.9775095475911,295.370599,394.752,1212.042,44.964,7e-05,105.783,36.953,-2.3,4.8805317,20.978,3.545,0.517,0.106,0.376,0.733,0.72,-0.24,0.52,32.76,3.24,0.007
"r6_hn_yi","06","HN","YI",2,"ozz",13.52372528,111.681046724821,92.632835318718,102.988101034162,90.8378833831313,0.831407878583333,0.814608165261478,7.16987663452778,0.00879394614726721,0.980622940781087,0.131499674,0.543673560630263,11.8553974561771,102.84227229339,849.287631882803,8.67472159187759,519.933382679497,70.243,0.1351,5.931,7.61962569549823,1.14072306137266,28.9775095475911,212.7204357,391.265,1216.673,45.192,7e-05,153.342,54.766,-2.19,7.27668,22.304,0.278,0.725,0.215,0.06,0.834,0.179,0.478,0.343,39.66,6.12,0.011
"r6_ln_ni","06","LN","NI",2,"ozz",10.79003559,103.411393039169,84.7302917520874,105.682347356481,92.4619540604374,0.547792581166667,0.535521050786801,5.43185565772222,0.00632030221675246,1.09125027364443,0.079180271,0.412466140192003,12.5494893710201,136.271768885459,1306.02474244081,10.8587500938599,457.2,34.29,0.075,3.931,11.3706436021369,0.859798775153106,28.9775095475911,162.1478641,393.118,433.66,44.698,6e-05,377.17,25.156,-4.71,7.9282035,24.955,0.632,0.706,0.18,0.114,-0.005,-21.551,65.108,-42.558,31.17,3.24,0.023
"r6_ln_yi","06","LN","YI",2,"ozz",9.199294168,63.2092996732468,51.2635079546494,64.6797106706912,56.2072947056533,0.4208440355,0.417542844514152,NA,0.0081450306694488,1.09643871338999,0.108905944,0.621768642114455,9.47239371703013,84.4700833592701,580.402660788164,8.91750130776383,660.544217687075,48.55,0.0735,6.415,7.03429462197974,0.971168898043254,28.9775095475911,244.9370518,393.936,806.54,45.125,9e-05,95.989,34.071,-2.53,5.487678,25.144,3.74,0.485,0.109,0.406,0.722,0.676,0.083,0.241,33.37,7.15,0.009
"r7_hn_ni","07","HN","NI",2,"nvg",10.40869712,72.9849534216807,60.3289010642387,70.9422483386995,62.4302862460589,0.675074027416667,0.664669526895142,5.19474288247222,0.0110174313665584,1.03483214752383,0.169797956,0.714871289976128,7.60779672513571,61.3004853839348,429.834110733822,8.05758718308043,535.682242990654,57.318,0.107,7.329,6.23018147086915,1.36816183397885,28.9775095475911,280.888657,392.922,1144.708,45.661,0.00011,124.584,37.564,-1.86,7.2630711,25.783,1.242,0.626,0.167,0.207,0.889,0.099,0.338,0.563,36,3.53,0.014
"r7_hn_yi","07","HN","YI",2,"alb",12.05283778,75.5267618695877,63.8729608992776,93.1495958241842,83.2257970071944,0.871097364416667,0.845186178419576,NA,0.0132322999673111,1.30298949407457,0.150232978,0.639076076989377,10.1973044282001,80.2276433607008,502.730910849599,7.86753439848626,607.294751009421,45.122,0.0743,7.178,6.22373920312065,1.18196312220203,28.9775095475911,250.6187962,392.158,1349.292,44.674,0.00012,64.168,33.951,-2.87,7.2454446,25.436,0.685,0.633,0.218,0.149,0.879,-0.092,0.276,0.816,30.88,5.17,0.008
"r7_ln_ni","07","LN","NI",2,"gib",13.72965871,90.0268823526128,76.7249300044346,88.8713695141765,79.8116751097143,0.57881829925,0.579394727266407,6.15196886975,0.0075515836538778,1.04023131862227,0.326164702,0.785199743003705,13.5448448481666,42.0942506218837,276.016631476611,3.10776912498791,505.995893223819,24.642,0.0487,5.129,8.77812439071944,1.01364459053648,28.9775095475911,306.4461853,390.278,377.582,45.023,5e-05,50.329,42.667,-2.87,6.7742325,20.65,0.574,0.729,0.172,0.099,0.722,0.437,0.137,0.426,39.35,3.26,0.003
"r7_ln_yi","07","LN","YI",2,"gib",9.661238735,60.9429248779617,49.9598606858005,58.8262828391672,51.4852206421066,0.466717354666667,0.450928075346375,3.87229890822222,0.00902580730123086,1.03053170956379,0.18904578,0.758100875288071,9.02039067359515,51.1052864285043,322.371252497473,5.66552916362056,571.871727748691,43.691,0.0764,6.125,7.19738775510204,1.0710443798494,28.9775095475911,298.2459723,393.4119878,779.981,44.084,8e-05,95.027,41.278,-3.04,5.730732,22.741,2.042,0.56,0.145,0.296,0.53,0.22,-0.03,0.81,31.73,3.14,0.008
"r8_hn_ni","08","HN","NI",2,"gib",11.05634461,81.9549342163749,65.9963265631766,83.3197412082372,72.0673680748384,0.60370800975,0.593910006116155,5.92542555325,0.00899913733149405,1.09199059747439,0.133316041,0.629508178993842,7.11767980225451,82.9333404072508,614.74173401515,11.6517380257794,461.707746478873,52.45,0.1136,7.172,6.29866146123815,1.55336358436606,28.9775095475911,247.2682858,392.7959859,1259.96,45.174,5e-05,-1512.263,43.984,-2.78,0.2697912,0.848,1.179,0.707,0.134,0.158,0.984,0.318,0.268,0.414,44.81,2.81,-0.076
"r8_hn_yi","08","HN","YI",2,"nvg",12.13957495,114.435157092884,94.7956070548832,98.2004182562955,86.5414787268692,0.743052882333333,0.733714953940837,7.01140066411111,0.00773996788180325,0.9129271009021,0.100382897,0.472567416796065,9.82702638875904,120.93270181274,1139.98659645062,12.3061338220352,491.611374407583,62.238,0.1266,6.073,7.61699324880619,1.23532536392558,28.9775095475911,185.3404683,392.199,1278.628,46.258,9e-05,108.075,41.938,-2.36,5.752422,24.583,0.33,0.52,0.361,0.119,1.296,0.378,0.47,0.151,50.29,3.94,0.01
"r8_ln_ni","08","LN","NI",2,"ozz",12.08006929,76.9302392365566,62.1432168751657,88.2089703189737,76.4531129925517,1.03870766033333,1.01315633659154,5.64125429455556,0.0163035708084888,1.23027285739217,0.145164351,0.624507858191981,15.4640981025308,83.2165005167143,529.952696420326,5.38127086138283,532.919463087248,31.762,0.0596,4.163,10.5774681719914,0.78116869214785,28.9775095475911,244.9094997,392.164,404.542,44.034,9e-05,46.152,53.458,-3.54,6.0272091,19.639,0.763,0.682,0.181,0.138,0.739,-0.1,0.555,0.546,24.68,1.66,0.004
"r8_ln_yi","08","LN","YI",2,"ozz",7.850268176,50.7982789326973,40.6279927471444,56.434477642271,48.5936420918603,0.584513374521739,0.549423322249042,NA,0.0135232701666675,1.19606307883069,0.111531388,0.679287538190275,7.83208084191085,70.3861784271886,455.461730044078,8.98690652559913,568.479899497487,45.251,0.0796,5.698,7.8968058968059,1.00232215862633,28.9775095475911,268.1378871,394.734,924.151,44.996,8e-05,172.967,60.984,-2.18,4.90740075,20.615,2.85,0.529,0.122,0.349,0.48,0.42,-0.289,0.869,30.4,2.5,0.014
"r10_hn_ni","10","HN","NI",3,"gib",5.693058674,45.6597082383139,35.5670777615586,41.3035415953189,34.9565136391544,0.56932216275,0.558855428478759,2.8057215975,0.0157127170307699,0.982833447085606,0.082307253,0.688897953519997,5.32726730888497,69.1683717594123,554.747079680984,12.983837256308,604.399524375743,50.83,0.0841,6.459,7.05341384115188,1.06866397796577,28.6432714453584,272.949631,396.2119928,1261.97,45.558,8e-05,32.033,55.364,-2.14,4.753161,17.43,2.068,0.606,0.128,0.266,0.668,0.567,-0.785,1.218,38.02,2.87,0.003
"r10_hn_yi","10","HN","YI",3,"ozz",11.48847194,77.1980012468403,64.557184300163,77.8231640128097,69.0182983531644,0.736214140416667,0.723705632730019,NA,0.0112103035560705,1.069103293481,0.159883398,0.670685403254991,10.8497633881338,71.8553150840589,482.839383028626,6.62275411117681,574.953395472703,43.179,0.0751,6.088,7.46452036793693,1.05886843141342,28.6432714453584,263.1648799,392.382,989.149,45.444,0.00016,61.871,26.029,-3.14,6.43698045,23.801,0.449,0.601,0.276,0.124,0.663,0.219,0.285,0.496,33.65,3.62,0.01
"r10_ln_ni","10","LN","NI",3,"alb",12.73204369,100.240895509203,86.2279068502679,106.867249957675,96.5726558240262,2.97454302275,2.88045132080588,6.06359881313889,0.0334050938498101,1.11996984910838,0.233243159,0.741877677629613,16.2873120434308,54.5869972975285,429.769927396681,3.35150435823726,527.173913043478,43.65,0.0828,4.121,10.7452074739141,0.781715463917526,28.6432714453584,290.468109,391.531,534.18,44.281,9e-05,315.442,34.757,-4.51,7.0107534,22.036,0.329,0.707,0.22,0.072,0.376,0.182,0.235,0.582,31.44,2.21,0.028
"r10_ln_yi","10","LN","YI",3,"ozz",10.20949768,66.6429514065463,54.3453184432229,70.4521318081107,61.4489258267917,0.821704888416667,0.793599998260177,NA,0.0146029137558424,1.1307124070124,0.135891483,0.658225309789422,10.7658987225899,75.1297833728108,490.413011436091,6.97849620442435,561.836734693878,38.542,0.0686,5.328,8.33614864864865,0.948318198329096,28.6432714453584,258.8477613,393.251,784.412,44.415,0.00013,64.531,50.777,-2.17,5.125347,20.485,2.248,0.556,0.137,0.307,0.741,-0.058,0.059,0.999,30.05,1.96,0.008
"r11_hn_ni","11","HN","NI",3,"ozz",8.801583583,71.1376560091177,58.2106922710174,63.1789233396858,55.2306612713397,0.675679614305556,0.649447263131723,NA,0.0111568379930619,0.948806123352679,0.107781401,0.633392718979815,6.61955096877484,81.6614323189211,660.017919131685,12.3364005661603,495.24886877828,43.78,0.0884,6.585,6.87972665148064,1.32963453631795,28.6432714453584,249.68531,394.203,1114.09,45.303,1e-04,208.121,31.039,-2.29,6.0605901,23.301,2.302,0.578,0.128,0.294,0.799,0.575,-0.012,0.437,36.17,5.24,0.021
"r11_hn_yi","11","HN","YI",3,"alb",8.898720143,59.2896296870345,49.8179272645892,63.2981472078384,56.3143385451832,0.800870882833333,0.774598794770063,NA,0.0155485954013316,1.13040308253073,0.140831956,0.710691681744705,7.65736184250879,63.1867964895695,420.995570685921,8.25177101319631,586.345707656612,50.543,0.0862,6.814,6.57235104197241,1.16211305225254,28.6432714453584,280.0558748,394.061,1112.363,44.784,8e-05,194.231,43.342,-2.73,7.0930143,21.953,0.326,0.718,0.213,0.069,0.562,0.043,0.136,0.82,37.7,1.68,0.016
"r11_ln_ni","11","LN","NI",3,"gib",12.35911705,81.0732784344554,66.6949870355585,79.5253159834736,69.7657421403339,0.45503822575,0.441884894743071,5.32629014608333,0.00662545888954862,1.04604176777391,0.244843359,0.758168250369048,NA,50.4776486504582,331.123044405118,NA,576.200607902736,37.914,0.0658,NA,NA,NA,28.6432714453584,296.9790407,391.7059842,584.734,NA,1e-04,43.353,43.147,-3.66,6.246864,22.72,1.498,0.611,0.156,0.233,1.108,0.219,0.348,0.433,38.57,1.97,0.004
"r11_ln_yi","11","LN","YI",3,"nvg",13.35273553,92.9912060565519,80.0803520638959,88.0480387120839,79.6250799048136,0.621967804666667,0.608844056766979,6.40183222155556,0.00760291433635536,0.994314808222633,0.293572375,0.776336284043955,12.8769614089055,45.4836240296792,316.757344953018,3.53217056301989,577.849779086892,39.236,0.0679,5.992,7.45427236315087,1.03694770109084,28.6432714453584,303.4349183,390.855,1206.616,44.666,1e-04,394.941,41.099,-2.26,5.12958555,23.311,3.358,0.489,0.117,0.394,0.636,0.26,0.292,0.448,33.89,2.81,0.039
"r12_hn_ni","12","HN","NI",3,"ozz",6.947536248,59.4946823004503,47.2690068191383,51.5906979802752,44.2324245933078,0.776847957583333,0.756303260657359,NA,0.0159999820506308,0.935759550915696,0.09416412,0.671492776523131,5.61097025573647,73.7811413519289,631.819023004201,13.1494443900318,575.671641791045,50.141,0.0871,7.128,6.28367003367003,1.23820585947628,28.6432714453584,265.5210022,395.419,1102.511,44.79,1e-04,314.842,38.112,-2.35,5.69454975,22.801,2.575,0.555,0.125,0.321,0.655,0.618,-0.11,0.493,35.94,2.4,0.031
"r12_hn_yi","12","HN","YI",3,"ozz",8.417188841,66.3296975768664,54.1064177611698,61.1253892481605,53.3248368494572,0.934586248,0.918861828594499,4.365995701,0.0169824924032197,0.985554746663094,0.118111204,0.676089503951802,7.7553871812249,71.2649482516494,561.586837916464,9.18908967229586,642.014084507042,45.583,0.071,6.968,6.42049368541906,1.08533444485883,28.6432714453584,266.6341503,394.377,1171.403,44.738,1.36013,0.001,37.546,-2.84,8.2488861,24.738,0.444,0.741,0.179,0.08,0.719,0.403,0.176,0.422,33.76,5.95,0.001
"r12_ln_ni","12","LN","NI",3,"alb",12.28053336,63.992381159044,55.2155985325272,75.5238721685816,68.3881111318074,0.7008324205,0.690148148333025,4.79034755683333,0.0124991518099086,1.23856506040626,0.281950629,0.78754773318692,17.2569586431373,43.5556161146213,226.963072882678,2.5239450945745,509.254901960784,38.958,0.0765,3.624,12.1666666666667,0.711627906976744,28.6432714453584,308.3918791,391.585,482.058,44.092,5e-05,158.801,32.951,-3.95,6.230592,21.634,0.44,0.64,0.25,0.11,0.28,0.66,-0.71,1.051,30.85,2.84,0.008
"r12_ln_yi","12","LN","YI",3,"nvg",14.50203695,101.469995031559,85.8964028243864,103.83126652487,92.8329274335425,0.359333196538462,0.34487691400803,5.8571682982906,0.0040150332571333,1.08075454129712,0.244723763,0.718995499314779,15.3010640387772,59.2588017290336,414.63074034032,3.87285495824702,531.980198019802,53.73,0.101,5.042,8.96945656485522,0.947779638935418,28.6432714453584,280.685058,390.385,807.28,45.224,8e-05,638.008,43.593,-3.06,6.6303765,20.295,0.331,0.726,0.206,0.068,0.674,0.248,0.345,0.407,37.26,3.05,0.051
"r9_hn_ni","09","HN","NI",3,"nvg",10.18920282,82.0996682966637,67.9558638012217,74.8550395410609,65.9363708780466,0.745844658583333,0.734433530186793,NA,0.0108075078308929,0.97028228602785,0.135852018,0.659260365662891,8.33345051442528,75.002219105792,604.331606591694,9.00013973515082,541.512195121951,55.505,0.1025,6.621,6.8134722851533,1.22268714530222,28.6432714453584,259.1875535,393.149,1079.075,45.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"r9_hn_yi","09","HN","YI",3,"alb",6.604177359,40.5194537517809,33.4569592966356,62.8350146715582,55.2588927284691,0.82021402275,0.79986084657867,NA,0.0239071590304114,1.65164120978639,0.09236938,0.679835474110474,5.76473207920072,71.4974741521487,438.667594735192,12.4025667055912,650.828105395232,51.871,0.0797,7.456,6.12365879828326,1.14561739700411,28.6432714453584,268.9456329,395.604,1178.801,45.658,6e-05,378.07,64.072,-2.55,5.6764782,17.692,0.382,0.713,0.208,0.079,0.435,0.247,0.166,0.587,36.01,3.71,0.023
"r9_ln_ni","09","LN","NI",3,"nvg",10.89983292,68.4281026249451,57.4191181650347,68.1900861116414,60.6123287944298,0.57813806425,0.569462408682402,NA,0.00991764462570894,1.05561232445642,0.311382867,0.821568776309985,16.9833996355263,35.0046006866524,219.755516044321,2.06110681240928,516.677215189873,32.654,0.0632,3.316,13.2433655006031,0.641793348441232,28.6432714453584,322.2184525,392.199,354.454,43.915,7e-05,-1.246,41.199,-3.38,8.2828494,31.626,2.092,0.582,0.135,0.283,0.717,0.324,-0.154,0.83,29.33,3.64,0
