id,sample.type,sample.weight,n.retention.time,n.response,n.rb,n.weight.mg,n.weight.percent,n.peak.type,n.element.name,c.retention.time,c.response,c.rb,c.weight.mg,c.weight.percent,c.peak.type,c.element.type
r4_ln_yi_tl,unknown,2.976,2.009,219.48,A,0.131,4.385,Ordnr,Nitrogen,3.131,5950.19,A,1.337,44.914,Ordnr,Carbon
r13_ln_ni_tl,unknown,3.649,2.013,206.892,A,0.123,3.374,Ordnr,Nitrogen,3.1,6958.455,A,1.576,43.202,Ordnr,Carbon
r7_hn_yi_tl,unknown,2.889,2.007,239.145,A,0.142,4.917,Ordnr,Nitrogen,3.14,5698.851,A,1.277,44.219,Ordnr,Carbon
r9_hn_yi_tl,unknown,2.959,2.005,286.992,A,0.17,5.744,Ordnr,Nitrogen,3.132,5900.085,A,1.325,44.773,Ordnr,Carbon
r8_hn_ni_tl,unknown,3.674,2.007,328.769,A,0.194,5.285,Ordnr,Nitrogen,3.097,7261.841,A,1.649,44.894,Ordnr,Carbon
r16_ln_ni_tl,unknown,3.943,2.001,128.91,A,0.077,1.951,Ordnr,Nitrogen,3.136,5552.52,A,1.243,31.529,Ordnr,Carbon
r6_ln_yi_tl,unknown,2.902,2.001,221.305,A,0.132,4.534,Ordnr,Nitrogen,3.127,5770.61,A,1.294,44.602,Ordnr,Carbon
QC,unknown,0.275,1.973,48.192,A,0.028,10.362,Ordnr,Nitrogen,3.308,918.532,A,0.196,71.402,Ordnr,Carbon
r9_ln_ni_tl,unknown,2.821,2.001,125.077,A,0.075,2.646,Ordnr,Nitrogen,3.141,5331.981,A,1.192,42.24,Ordnr,Carbon
r16_ln_yi_tl,unknown,2.646,2.003,230.294,A,0.137,5.172,Ordnr,Nitrogen,3.156,5224.034,A,1.166,44.083,Ordnr,Carbon
r4_ln_ni_tl,unknown,3.424,2.009,235.497,A,0.14,4.086,Ordnr,Nitrogen,3.115,6705.447,A,1.516,44.272,Ordnr,Carbon
r14_ln_ni_tl,unknown,2.79,2.008,124.771,A,0.074,2.668,Ordnr,Nitrogen,3.153,5402.005,A,1.208,43.296,Ordnr,Carbon
r1_hn_yi_tl,unknown,3.983,2.016,350.856,A,0.207,5.195,Ordnr,Nitrogen,3.091,7790.136,A,1.777,44.625,Ordnr,Carbon
r9_hn_ni_tl,unknown,3.896,2.012,340.87,A,0.201,5.163,Ordnr,Nitrogen,3.091,7694.927,A,1.754,45.027,Ordnr,Carbon
r4_hn_ni_tl,unknown,3.991,2.021,322.752,A,0.191,4.778,Ordnr,Nitrogen,3.095,7777.007,A,1.774,44.455,Ordnr,Carbon
r11_ln_yi_tl,unknown,3.284,2.023,239.82,A,0.142,4.337,Ordnr,Nitrogen,3.135,6420.783,A,1.448,44.094,Ordnr,Carbon
r5_ln_ni_tl,unknown,2.639,2.015,131.261,A,0.078,2.968,Ordnr,Nitrogen,3.169,5106.429,A,1.139,43.162,Ordnr,Carbon
r8_ln_ni_tl,unknown,3.44,2.013,229.047,A,0.136,3.957,Ordnr,Nitrogen,3.115,6709.52,A,1.517,44.094,Ordnr,Carbon
r15_ln_ni_tl,unknown,2.444,2.008,162.86,A,0.097,3.973,Ordnr,Nitrogen,3.167,4861.297,A,1.082,44.279,Ordnr,Carbon
QC,unknown,1.483,1.995,257.482,A,0.153,10.301,Ordnr,Nitrogen,3.156,4742.959,A,1.055,71.125,Ordnr,Carbon
r12_ln_ni_tl,unknown,3.123,2.008,162.462,A,0.097,3.101,Ordnr,Nitrogen,3.124,6038.443,A,1.357,43.467,Ordnr,Carbon
r7_ln_yi_tl,unknown,3.584,2.007,290.695,A,0.172,4.802,Ordnr,Nitrogen,3.099,7032.395,A,1.594,44.481,Ordnr,Carbon
r8_ln_yi_tl,unknown,3.663,2.008,237.527,A,0.141,3.852,Ordnr,Nitrogen,3.1,7055.974,A,1.6,43.676,Ordnr,Carbon
r2_ln_ni_tl,unknown,3.372,2.003,158.174,A,0.094,2.797,Ordnr,Nitrogen,3.111,6429.815,A,1.45,43.007,Ordnr,Carbon
r3_ln_yi_tl,unknown,3.762,1.997,284.874,A,0.169,4.485,Ordnr,Nitrogen,3.08,7411.714,A,1.686,44.806,Ordnr,Carbon
r3_hn_yi_tl,unknown,3.711,2.008,361.787,A,0.213,5.745,Ordnr,Nitrogen,3.093,7364.318,A,1.674,45.113,Ordnr,Carbon
r2_hn_ni_tl,unknown,3.801,2.009,361.728,A,0.213,5.608,Ordnr,Nitrogen,3.092,7603.733,A,1.732,45.57,Ordnr,Carbon
r12_hn_yi_tl,unknown,3.331,2.012,326.897,A,0.193,5.797,Ordnr,Nitrogen,3.12,6738.206,A,1.524,45.743,Ordnr,Carbon
r3_ln_ni_tl,unknown,3.098,2.016,194.041,A,0.116,3.729,Ordnr,Nitrogen,3.144,6065.065,A,1.364,44.02,Ordnr,Carbon
r7_hn_ni_tl,unknown,3.811,2.021,370.17,A,0.218,5.72,Ordnr,Nitrogen,3.109,7694.9,A,1.754,46.031,Ordnr,Carbon
r16_hn_yi_tl,unknown,3.078,2.019,322.251,A,0.19,6.186,Ordnr,Nitrogen,3.143,6243.685,A,1.406,45.679,Ordnr,Carbon
QC,unknown,2.512,2.012,452.086,A,0.265,10.539,Ordnr,Nitrogen,3.093,7846.151,A,1.791,71.3,Ordnr,Carbon
r13_hn_ni_tl,unknown,3.769,2.025,350.279,A,0.207,5.481,Ordnr,Nitrogen,3.115,7578.229,A,1.726,45.793,Ordnr,Carbon
r10_hn_yi_tl,unknown,2.73,2.023,258.233,A,0.153,5.612,Ordnr,Nitrogen,3.169,5533.936,A,1.239,45.378,Ordnr,Carbon
r10_ln_ni_tl,unknown,3.404,2.021,195.708,A,0.117,3.423,Ordnr,Nitrogen,3.128,6595.065,A,1.49,43.758,Ordnr,Carbon
r5_ln_yi_tl,unknown,3.774,2.011,225.014,A,0.134,3.544,Ordnr,Nitrogen,3.145,5559.159,A,1.245,32.982,Ordnr,Carbon
r11_hn_ni_tl,unknown,3.121,2.013,313.312,A,0.185,5.935,Ordnr,Nitrogen,3.124,6404.117,A,1.444,46.27,Ordnr,Carbon
r2_ln_yi_tl,unknown,3.246,2.012,248.302,A,0.147,4.541,Ordnr,Nitrogen,3.117,6477.221,A,1.461,45.024,Ordnr,Carbon
r7_ln_ni_tl,unknown,3.574,2.013,218.144,A,0.13,3.63,Ordnr,Nitrogen,3.105,6872.492,A,1.556,43.532,Ordnr,Carbon
r13_ln_yi_tl,unknown,3.118,2.004,224.094,A,0.133,4.272,Ordnr,Nitrogen,3.121,6203.802,A,1.397,44.79,Ordnr,Carbon
r10_ln_yi_tl,unknown,3.79,2.004,291.188,A,0.172,4.549,Ordnr,Nitrogen,3.087,7548.96,A,1.719,45.352,Ordnr,Carbon
r16_hn_ni_ts,unknown,3.301,2.005,111.479,A,0.067,2.015,Ordnr,Nitrogen,3.121,6361.395,A,1.434,43.439,Ordnr,Carbon
r5_hn_ni_ts,unknown,3.437,1.997,75.396,A,0.045,1.306,Ordnr,Nitrogen,3.1,6609.388,A,1.493,43.437,Ordnr,Carbon
QC,unknown,1.05,1.979,179.655,A,0.107,10.194,Ordnr,Nitrogen,3.197,3346.503,A,0.736,70.049,Ordnr,Carbon
r9_hn_ni_ts,unknown,3.972,2.004,100.539,A,0.06,1.51,Ordnr,Nitrogen,3.077,7668.767,A,1.748,44.005,Ordnr,Carbon
r10_ln_ni_ts,unknown,2.929,1.999,56.212,A,0.033,1.138,Ordnr,Nitrogen,3.132,5760.756,A,1.292,44.112,Ordnr,Carbon
r16_hn_yi_ts,unknown,4.291,2.009,132.384,A,0.079,1.841,Ordnr,Nitrogen,3.08,8079.902,A,1.848,43.07,Ordnr,Carbon
r8_ln_ni_ts,unknown,3.003,2.012,78.91,A,0.047,1.565,Ordnr,Nitrogen,3.144,5842.366,A,1.311,43.664,Ordnr,Carbon
r1_ln_yi_ts,unknown,3.679,2.02,68.374,A,0.041,1.105,Ordnr,Nitrogen,3.111,7235.961,A,1.643,44.663,Ordnr,Carbon
r8_hn_ni_ts,unknown,3.758,2.019,98.434,A,0.059,1.562,Ordnr,Nitrogen,3.109,7313.466,A,1.662,44.222,Ordnr,Carbon
r2_hn_yi_ts,unknown,3.75,2.023,89.436,A,0.053,1.422,Ordnr,Nitrogen,3.113,7320.468,A,1.664,44.361,Ordnr,Carbon
r16_ln_yi_ts,unknown,3.32,2.015,86.013,A,0.051,1.544,Ordnr,Nitrogen,3.128,6463.98,A,1.458,43.925,Ordnr,Carbon
r11_ln_yi_ts,unknown,3.055,2.019,67.741,A,0.04,1.319,Ordnr,Nitrogen,3.147,6020.139,A,1.353,44.293,Ordnr,Carbon
r8_hn_yi_ts,unknown,4.108,2.027,99.672,A,0.059,1.447,Ordnr,Nitrogen,3.093,8053.504,A,1.842,44.831,Ordnr,Carbon
r6_ln_yi_ts,unknown,3.634,2.023,72.126,A,0.043,1.181,Ordnr,Nitrogen,3.108,7168.314,A,1.627,44.768,Ordnr,Carbon
QC,unknown,1.276,2.001,223.72,A,0.133,10.423,Ordnr,Nitrogen,3.188,4126.187,A,0.913,71.544,Ordnr,Carbon
