id,sample.type,sample.weight,n.retention.time,n.response,n.rb,n.weight.mg,n.weight.percent,n.peak.type,n.element.name,c.retention.time,c.response,c.rb,c.weight.mg,c.weight.percent,c.peak.type,c.element.type,
r15_hn_yi_ts,unknown,3.745,2.324,122.601,A,0.058,1.56,Ordnr,Nitrogen,3.557,8949.165,A,1.649,44.026,Ordnr,Carbon,
r14_hn_ni_ts,unknown,3.261,2.333,111.703,A,0.053,1.631,Ordnr,Nitrogen,3.596,7791.99,A,1.42,43.534,Ordnr,Carbon,
r4_hn_ni_ts,unknown,3.41,2.331,85.153,A,0.041,1.188,Ordnr,Nitrogen,3.585,8228.71,A,1.505,44.149,Ordnr,Carbon,
r10_hn_yi_ts,unknown,3.412,2.327,102.838,A,0.049,1.435,Ordnr,Nitrogen,3.583,7966.841,A,1.454,42.612,Ordnr,Carbon,
r6_hn_ni_ts,unknown,3.196,2.331,120.397,A,0.057,1.794,Ordnr,Nitrogen,3.595,7607.765,A,1.384,43.293,Ordnr,Carbon,
r14_hn_yi_ts,unknown,2.925,2.317,101.73,A,0.048,1.656,Ordnr,Nitrogen,3.6,6974.454,A,1.261,43.108,Ordnr,Carbon,
r15_hn_ni_ts,unknown,3.373,2.323,94.162,A,0.045,1.329,Ordnr,Nitrogen,3.571,8095.289,A,1.479,43.854,Ordnr,Carbon,
r1_ln_ni_ts,unknown,3.028,2.319,66.601,A,0.032,1.044,Ordnr,Nitrogen,3.591,7293.615,A,1.323,43.679,Ordnr,Carbon,
r6_hn_yi_ts,unknown,3.622,2.317,100.257,A,0.048,1.318,Ordnr,Nitrogen,3.557,8610.135,A,1.581,43.652,Ordnr,Carbon,
r13_ln_yi_ts,unknown,3.208,2.305,66.679,A,0.032,0.987,Ordnr,Nitrogen,3.571,7749.616,A,1.411,43.995,Ordnr,Carbon,
QC,unknown,0.534,2.275,112.614,A,0.054,10.044,Ordnr,Nitrogen,3.747,2208.055,A,0.381,71.436,Ordnr,Carbon,
r2_ln_ni_ts,unknown,3.676,2.313,69.422,A,0.033,0.897,Ordnr,Nitrogen,3.556,8618.771,A,1.583,43.058,Ordnr,Carbon,
r4_hn_yi_tr,unknown,3.346,2.309,86.936,A,0.041,1.236,Ordnr,Nitrogen,3.56,8397.344,A,1.539,45.991,Ordnr,Carbon,
r1_ln_yi_tr,unknown,3.082,2.303,66.191,A,0.031,1.02,Ordnr,Nitrogen,3.575,7784.826,A,1.418,46.017,Ordnr,Carbon,
r7_ln_yi_tr,unknown,3.001,2.305,49.462,A,0.023,0.78,Ordnr,Nitrogen,3.579,7771.646,A,1.416,47.173,Ordnr,Carbon,
r15_ln_ni_tr,unknown,3.022,2.305,85.119,A,0.04,1.34,Ordnr,Nitrogen,3.583,7728.473,A,1.407,46.566,Ordnr,Carbon,
r8_ln_ni_tr,unknown,3.101,2.313,81.648,A,0.039,1.252,Ordnr,Nitrogen,3.588,7578.649,A,1.378,44.437,Ordnr,Carbon,
r14_ln_yi_tr,unknown,3.035,2.319,85.93,A,0.041,1.347,Ordnr,Nitrogen,3.599,7357.94,A,1.335,43.989,Ordnr,Carbon,
r15_ln_yi_tr,unknown,3.901,2.316,90.496,A,0.043,1.104,Ordnr,Nitrogen,3.547,9677.492,A,1.796,46.035,Ordnr,Carbon,
r10_hn_ni_tr,unknown,3.209,2.331,75.082,A,0.036,1.112,Ordnr,Nitrogen,3.591,7965.885,A,1.454,45.302,Ordnr,Carbon,
r6_hn_yi_tr,unknown,3.574,2.339,81.487,A,0.039,1.084,Ordnr,Nitrogen,3.588,8354.13,A,1.53,42.817,Ordnr,Carbon,
r2_hn_ni_tr,unknown,3.411,2.332,62.047,A,0.029,0.863,Ordnr,Nitrogen,3.579,8445.069,A,1.548,45.391,Ordnr,Carbon,
QC,unknown,1.151,2.308,238.728,A,0.114,9.871,Ordnr,Nitrogen,3.675,4625.658,A,0.818,71.095,Ordnr,Carbon,
r4_ln_ni_tr,unknown,3.081,2.324,87.025,A,0.041,1.344,Ordnr,Nitrogen,3.593,7574.615,A,1.377,44.7,Ordnr,Carbon,
r7_ln_ni_tr,unknown,3.733,2.331,85.331,A,0.041,1.087,Ordnr,Nitrogen,3.56,8912.006,A,1.641,43.968,Ordnr,Carbon,
r12_ln_yi_tr,unknown,3.371,2.329,67.405,A,0.032,0.949,Ordnr,Nitrogen,3.571,8445.903,A,1.548,45.935,Ordnr,Carbon,
r3_ln_yi_tr,unknown,3.243,2.328,77.662,A,0.037,1.138,Ordnr,Nitrogen,3.588,7800.218,A,1.421,43.825,Ordnr,Carbon,
unknown_tr,unknown,2.907,2.333,63.915,A,0.03,1.043,Ordnr,Nitrogen,3.604,7174.345,A,1.299,44.702,Ordnr,Carbon,
r1_ln_ni_tr,unknown,3.002,2.327,54.557,A,0.026,0.861,Ordnr,Nitrogen,3.589,7567.546,A,1.376,45.83,Ordnr,Carbon,
r5_ln_ni_tr,unknown,2.948,2.323,57.479,A,0.027,0.924,Ordnr,Nitrogen,3.595,7346.392,A,1.333,45.211,Ordnr,Carbon,
r16_ln_yi_tr,unknown,3.33,2.335,64.511,A,0.031,0.919,Ordnr,Nitrogen,3.583,8305.909,A,1.521,45.668,Ordnr,Carbon,
r15_hn_yi_tr,unknown,3.288,2.324,64.429,A,0.031,0.93,Ordnr,Nitrogen,3.579,8226.449,A,1.505,45.774,Ordnr,Carbon,
r9_hn_yi_tr,unknown,3.354,2.331,71.677,A,0.034,1.015,Ordnr,Nitrogen,3.584,8286.62,A,1.517,45.228,Ordnr,Carbon,
r16_ln_ni_tr,unknown,3.093,2.341,59.916,A,0.028,0.919,Ordnr,Nitrogen,3.605,7755.536,A,1.413,45.668,Ordnr,Carbon,
QC,unknown,0.864,2.299,167.359,A,0.08,9.229,Ordnr,Nitrogen,3.715,3492.06,A,0.611,70.746,Ordnr,Carbon,
r14_hn_yi_tr,unknown,3.517,2.363,71.416,A,0.034,0.965,Ordnr,Nitrogen,3.601,8791.05,A,1.617,45.981,Ordnr,Carbon,
r13_hn_yi_tr,unknown,3.025,2.36,59.55,A,0.028,0.934,Ordnr,Nitrogen,3.64,7633.003,A,1.389,45.904,Ordnr,Carbon,
r14_ln_ni_tr,unknown,3.336,2.361,61.861,A,0.029,0.88,Ordnr,Nitrogen,3.612,8372.594,A,1.534,45.981,Ordnr,Carbon,
r16_hn_ni_tr,unknown,2.246,2.387,66.022,A,0.031,1.395,Ordnr,Nitrogen,3.641,8187.538,A,1.497,66.668,Ordnr,Carbon,
r7_hn_yi_tr,unknown,3.652,2.405,74.845,A,0.036,0.974,Ordnr,Nitrogen,3.633,9274.811,A,1.714,46.94,Ordnr,Carbon,
r5_ln_yi_tr,unknown,3.41,2.411,69.353,A,0.033,0.966,Ordnr,Nitrogen,3.66,8767.432,A,1.612,47.286,Ordnr,Carbon,
r9_hn_ni_tr,unknown,3.954,2.42,69.561,A,0.033,0.836,Ordnr,Nitrogen,3.643,9961.918,A,1.854,46.887,Ordnr,Carbon,
r7_hn_ni_tr,unknown,3.272,2.408,75.699,A,0.036,1.1,Ordnr,Nitrogen,3.665,8312.827,A,1.522,46.519,Ordnr,Carbon,
r3_hn_yi_tr,unknown,3.983,2.419,80.238,A,0.038,0.958,Ordnr,Nitrogen,3.636,9936.262,A,1.849,46.413,Ordnr,Carbon,
r10_ln_yi_tr,unknown,3.863,2.419,73.547,A,0.035,0.905,Ordnr,Nitrogen,3.645,9709.082,A,1.802,46.655,Ordnr,Carbon,
r12_hn_yi_tr,unknown,3.253,2.415,59.764,A,0.028,0.871,Ordnr,Nitrogen,3.672,8282.01,A,1.516,46.604,Ordnr,Carbon,
QC,unknown,1.165,2.341,232.127,A,0.11,9.484,Ordnr,Nitrogen,3.712,4680.744,A,0.828,71.113,Ordnr,Carbon,
r12_hn_ni_tr,unknown,3.101,2.395,65.157,A,0.031,0.997,Ordnr,Nitrogen,3.663,7936.761,A,1.448,46.695,Ordnr,Carbon,
r4_hn_yi_nod,unknown,2.992,2.377,192.823,A,0.092,3.07,Ordnr,Nitrogen,3.667,7685.375,A,1.399,46.751,Ordnr,Carbon,
unknown_nod,unknown,3.054,2.375,200.597,A,0.096,3.128,Ordnr,Nitrogen,3.677,7847.691,A,1.431,46.842,Ordnr,Carbon,
r14_hn_yi_nod,unknown,3.243,2.373,240.601,A,0.115,3.531,Ordnr,Nitrogen,3.676,8144.97,A,1.489,45.913,Ordnr,Carbon,
r14_ln_yi_nod,unknown,3.483,2.385,191.285,A,0.091,2.616,Ordnr,Nitrogen,3.672,9036.545,A,1.666,47.841,Ordnr,Carbon,
r4_ln_ni_nod,unknown,3.695,2.372,277.795,A,0.132,3.575,Ordnr,Nitrogen,3.669,8871.543,A,1.633,44.201,Ordnr,Carbon,
r12_ln_yi_nod,unknown,3.328,2.375,244.912,A,0.117,3.502,Ordnr,Nitrogen,3.667,8703.082,A,1.6,48.065,Ordnr,Carbon,
r15_ln_yi_nod,unknown,3.085,2.377,246.356,A,0.117,3.8,Ordnr,Nitrogen,3.677,8253.417,A,1.51,48.959,Ordnr,Carbon,
r6_hn_ni_tr,unknown,3.351,2.401,63.581,A,0.03,0.9,Ordnr,Nitrogen,3.703,7665.805,A,1.395,41.629,Ordnr,Carbon,
r5_hn_yi_tr,unknown,2.89,2.401,47.366,A,0.022,0.775,Ordnr,Nitrogen,3.732,6777.307,A,1.223,42.319,Ordnr,Carbon,
r9_ln_yi_tr,unknown,3.77,2.425,65.99,A,0.031,0.831,Ordnr,Nitrogen,3.683,9306.8,A,1.721,45.642,Ordnr,Carbon,
QC,unknown,0.633,2.34,127.685,A,0.061,9.61,Ordnr,Nitrogen,3.805,2619.904,A,0.455,71.823,Ordnr,Carbon,
r13_hn_ni_tr,unknown,3.236,2.409,50.536,A,0.024,0.739,Ordnr,Nitrogen,3.716,7880.413,A,1.437,44.406,Ordnr,Carbon,
r10_hn_yi_tr,unknown,3.485,2.436,56.592,A,0.027,0.77,Ordnr,Nitrogen,3.713,8503.382,A,1.56,44.76,Ordnr,Carbon,
r16_hn_yi_tr,unknown,3.351,2.432,56.54,A,0.027,0.8,Ordnr,Nitrogen,3.733,8018.979,A,1.464,43.694,Ordnr,Carbon,
r13_ln_ni_tr,unknown,3.474,2.441,54.457,A,0.026,0.743,Ordnr,Nitrogen,3.725,8527.227,A,1.565,45.038,Ordnr,Carbon,
r8_hn_ni_tr,unknown,3.832,2.441,72.997,A,0.035,0.905,Ordnr,Nitrogen,3.721,8834.798,A,1.626,42.429,Ordnr,Carbon,
r9_ln_ni_tr,unknown,3.065,2.412,62.82,A,0.03,0.972,Ordnr,Nitrogen,3.733,7235.504,A,1.311,42.784,Ordnr,Carbon,
r2_ln_ni_tr,unknown,3.18,2.425,40.939,A,0.019,0.607,Ordnr,Nitrogen,3.751,6882.552,A,1.243,39.096,Ordnr,Carbon,
r6_ln_ni_tr,unknown,3.286,2.415,64.394,A,0.031,0.93,Ordnr,Nitrogen,3.733,7613.922,A,1.385,42.144,Ordnr,Carbon,
r15_hn_ni_tr,unknown,2.972,2.416,49.399,A,0.023,0.786,Ordnr,Nitrogen,3.733,7298.401,A,1.324,44.533,Ordnr,Carbon,
r11_ln_ni_tr,unknown,3.334,2.441,44.296,A,0.021,0.628,Ordnr,Nitrogen,3.723,8125.144,A,1.485,44.543,Ordnr,Carbon,
r13_ln_yi_tr,unknown,3.12,2.429,48.639,A,0.023,0.737,Ordnr,Nitrogen,3.731,7627.587,A,1.388,44.472,Ordnr,Carbon,
QC,unknown,0.77,2.347,157.441,A,0.075,9.742,Ordnr,Nitrogen,3.792,3145.148,A,0.549,71.257,Ordnr,Carbon,
